timestamp,B_to_P1,P1_to_B,C_to_B,B_to_C,recorder1_9m_b,recorder2_9m_b,recorder3_9m_b,recorder1_9m_p1,recorder2_9m_p1,recorder1_9m_c,recorder2_9m_c
2024-02-15 13:06:30,0.0,0.0,1.0,1.0,37.0,57.0,19.0,12.0,6.0,8.0,18.0
2024-02-15 13:06:40,0.0,0.0,2.0,1.0,40.0,44.0,13.0,16.0,9.0,11.0,21.0
2024-02-15 13:06:50,0.0,0.0,1.0,1.0,18.0,30.0,10.0,9.0,6.0,3.0,20.0
2024-02-15 13:07:00,0.0,2.0,2.0,0.0,36.0,41.0,14.0,6.0,9.0,3.0,11.0
2024-02-15 13:07:10,0.0,1.0,3.0,2.0,31.0,51.0,20.0,12.0,3.0,2.0,15.0
2024-02-15 13:07:20,0.0,0.0,0.0,0.0,17.0,66.0,14.0,6.0,4.0,2.0,14.0
2024-02-15 13:07:30,2.0,0.0,1.0,2.0,27.0,48.0,18.0,2.0,2.0,2.0,13.0
2024-02-15 13:07:40,0.0,1.0,0.0,0.0,38.0,59.0,21.0,11.0,6.0,5.0,16.0
2024-02-15 13:07:50,1.0,0.0,0.0,1.0,25.0,27.0,21.0,6.0,5.0,17.0,24.0
2024-02-15 13:08:00,0.0,1.0,1.0,1.0,13.0,15.0,15.0,10.0,5.0,5.0,18.0
2024-02-15 13:08:10,0.0,0.0,0.0,0.0,6.0,7.0,12.0,24.0,9.0,6.0,16.0
2024-02-15 13:08:20,0.0,0.0,0.0,0.0,9.0,14.0,14.0,29.0,11.0,2.0,9.0
2024-02-15 13:08:30,0.0,1.0,0.0,0.0,12.0,26.0,20.0,12.0,9.0,9.0,14.0
2024-02-15 13:08:40,1.0,0.0,1.0,1.0,23.0,28.0,24.0,14.0,8.0,10.0,22.0
2024-02-15 13:08:50,0.0,1.0,2.0,0.0,33.0,37.0,5.0,7.0,8.0,8.0,21.0
2024-02-15 13:09:00,1.0,1.0,1.0,0.0,14.0,24.0,11.0,5.0,6.0,0.0,8.0
2024-02-15 13:09:10,1.0,0.0,2.0,0.0,25.0,39.0,26.0,12.0,9.0,2.0,8.0
2024-02-15 13:09:20,0.0,1.0,0.0,0.0,30.0,39.0,16.0,9.0,11.0,2.0,16.0
2024-02-15 13:09:30,0.0,0.0,1.0,2.0,28.0,25.0,17.0,9.0,5.0,2.0,18.0
2024-02-15 13:09:40,2.0,0.0,0.0,2.0,17.0,29.0,10.0,14.0,3.0,0.0,6.0
2024-02-15 13:09:50,0.0,0.0,0.0,0.0,18.0,36.0,10.0,21.0,8.0,6.0,18.0
2024-02-15 13:10:00,0.0,2.0,1.0,0.0,38.0,48.0,13.0,10.0,23.0,18.0,27.0
2024-02-15 13:10:10,3.0,0.0,3.0,1.0,35.0,39.0,20.0,17.0,17.0,33.0,42.0
2024-02-15 13:10:20,0.0,0.0,2.0,1.0,25.0,32.0,28.0,6.0,1.0,26.0,43.0
2024-02-15 13:10:30,0.0,2.0,2.0,0.0,15.0,17.0,24.0,4.0,2.0,4.0,20.0
2024-02-15 13:10:40,0.0,0.0,1.0,0.0,29.0,44.0,35.0,1.0,2.0,3.0,20.0
